event_id,option1,event1,option2,event2,option3,event3,question,notes,pre_event,pre_states_id
4001,studying hard all year,3500,falling for a new game,3501,learning a musical instrument,3502,"It's your first year in primary school, your year plan will be",year 7,,
4002,were rejected by your crush,3503,realised you're gay,3504,just broke up with someone,3505,"Everyone seems to be involved in a relationship, you",year 13,,
4003,take a gap year,3506,look for a job directly,3507,apply for college,3508,"This year you turn 18, you decided to",year 18,,
4004,have a try,3509,not to be curious,3510,report to his parents,3511,"You went to a party, saw your friends smoking weeds, you decided to",year 18,,
4005,Harvard,3512,Oxford,3513,MIT,3514,"You received several college offers, you decided to go to ",year 18,,
4006,took your special someone out for dinner,3515,bought a bouquet of roses,3515,an evening of drinking led to a confession,3517,"On Valentines' Day, you decided to something romantic:",year 24,,
4007,took your special someone out for dinner,3516,bought a bouquet of roses,3516,an evening of drinking led to a confession,3518,"On Valentines' Day, you decided to something romantic:",year 24,,
4100,try to escape,3242,fight against,3243,obediently pay,3242,"You were stopped by a bunch of punks, you ...",,,
4101,owned it,3700,gave the wallet to the police,3701,waited for the owner to come back and got the wallet.,3702,"You found a wallet on the road, you ...",,,
4102,didn't donate,3703,donated a little,3704,donated a lot,3705,"You attended a charity gala, you ...","",,
4103,Took the red pill and came back to reality,3706,Took the blue pill and stayed in a virtual society,3707,couldn't make a decision,3708,"You could decide where you stay by taking two different pills, you ...","",3340,
4008,you decided to quit your job,3519,you convinced your partner to quit his/her job.,3519,you sttrugled,3520,"You found it hard to balance life and family, ",year 30,,12
